Activation,Padding,DropOut,Balanceo,Optimizador,FiltroCNN,FiltrosCapa,Pooling,CapasPM,ValLoss,TrainLoss,ValAcc,TrainAcc
relu,Falso,Drop0.25,Verdadero,adam,"(3, 3)","[32, 16]","(2, 2)",3Capas,1.9302816133873133,2.167129338956346,0.4215686321258545,0.6127451062202454
relu,Falso,Drop0.25,Verdadero,adam,"(3, 3)","[32, 16]","(3, 3)",2Capas,1.6633080501182407,2.346006337334128,0.4607843160629272,0.5563725233078003
relu,Falso,Drop0.25,Verdadero,adam,"(3, 3)","[32, 16]","(3, 3)",3Capas,1.6505899312449437,2.3784244878619325,0.4705882370471954,0.561274528503418
relu,Falso,Drop0.25,Verdadero,adam,"(3, 3)",[32],"(2, 2)",2Capas,2.379340681375241,4.287483972661636,0.09803921729326248,0.16421568393707275
relu,Falso,Drop0.25,Verdadero,adam,"(3, 3)",[32],"(2, 2)",3Capas,2.3224523020725623,4.465950376847211,0.1764705926179886,0.11029411852359772
relu,Falso,Drop0.25,Verdadero,adam,"(3, 3)",[32],"(3, 3)",2Capas,2.170079327097126,2.9243735799602435,0.2647058963775635,0.4522058963775634
relu,Falso,Drop0.25,Verdadero,adam,"(3, 3)",[32],"(3, 3)",3Capas,2.1223532662672158,2.1748373625325224,0.31862744688987726,0.5980392098426819
relu,Falso,Drop0.25,Verdadero,adamax,"(2, 2)","[32, 16]","(2, 2)",2Capas,2.2004390019996487,2.572871998244641,0.2647058963775635,0.529411792755127
relu,Falso,Drop0.25,Verdadero,adamax,"(2, 2)","[32, 16]","(2, 2)",3Capas,2.097759405771891,2.6854490345599604,0.2696078419685364,0.4803921580314636
relu,Falso,Drop0.25,Verdadero,adamax,"(2, 2)","[32, 16]","(3, 3)",2Capas,1.839671022751752,2.8589609510758343,0.40196079015731806,0.4607843160629272
relu,Falso,Drop0.25,Verdadero,adamax,"(2, 2)","[32, 16]","(3, 3)",3Capas,1.7981423747305776,2.725888378479901,0.3774509727954865,0.5
relu,Falso,Drop0.25,Verdadero,adamax,"(2, 2)",[32],"(2, 2)",2Capas,2.3461287489124367,4.296303702335732,0.13725490868091583,0.15441176295280457
